Year;Month;Client;Location ;Navire
2020;Janvier;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC MOON
2020;Janvier;Ciments de L'Atlas;CAP;VALENTINA
2020;Janvier;UNIVERS ACIER;CAP;ANDRE MICHEL
2020;Janvier;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;CELTIC NAVIGATOR
2020;Janvier;TIMAB IBERICA, S. L.;CAP;EYLEM
2020;Janvier;UNIVERS ACIER;CAP;EYLEM
2020;Janvier;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;BRENS
2020;Janvier;UNIVERS ACIER;CAP;AMBRA
2020;Janvier;F181901 SGS KLAIPEDA LTD;CAP;REUNION BAY
2020;Janvier;TIMAC AGRO ITALIA SPA;CAP;TANGO MAR
2020;Janvier;TIMAC AGRO SA;CAP;NICOLE C
2020;Janvier;SUTRA;CAP;WILSON BLYTH
2020;Janvier;SUTRA;CAP;WILSON BLYTH
2020;Février;Ultimate Logistic Service;CAP;WILSON BLYTH
2020;Février;Ultimate Logistic Service;CAP;WILSON BLYTH
2020;Février;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ECHION
2020;Février;COSUMAR;CAP;SAPPHIRE ISLAND
2020;Février;COSUMAR;CAP;SAPPHIRE ISLAND
2020;Février;COSUMAR;CAP;SAPPHIRE ISLAND
2020;Février;F181901 SGS KLAIPEDA LTD;CAP;STAMFORD PIONEER
2020;Février;Yara Norge AS;CAP;ARKLOW CASTLE
2020;Mars;Ciments de L'Atlas;CAP;NEWA
2020;Mars;TIMAC AGRO SA;CAP;URA
2020;Mars;TIMAC AGRO SA;CAP;ADNAN N
2020;Mars;Ciments de L'Atlas;CAP;VALENTINA
2020;Mars;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;HAV SNAPPER
2020;Mars;UNIVERS ACIER;CAP;ANDRE MICHEL
2020;Mars;UNIVERS ACIER;CAP;FRELON
2020;Mars;SUTA;CAP;REGIUS
2020;Mars;SUTA;CAP;REGIUS
2020;Mars;SUTA;CAP;REGIUS
2020;Mars;SUTA;CAP;REGIUS
2020;Mars;STE. SUNABEL S.A.;CAP;EEMS VOYAGER
2020;Mars;STE. SUNABEL S.A.;CAP;EEMS VOYAGER
2020;Mars;STE. SUNABEL S.A.;CAP;EEMS VOYAGER
2020;Mars;STE. SUNABEL S.A.;CAP;EEMS VOYAGER
2020;Mars;STE. SUNABEL S.A.;CAP;LAGA
2020;Mars;STE. SUNABEL S.A.;CAP;LAGA
2020;Mars;STE. SUNABEL S.A.;CAP;LAGA
2020;Mars;STE. SUNABEL S.A.;CAP;LAGA
2020;Mars;LONGOFER;CAP;FRELON
2020;Mars;LONGOFER;CAP;ANDRE MICHEL
2020;Mars;SUTA;CAP;GEORGE
2020;Mars;SUTA;CAP;GEORGE
2020;Mars;SUTA;CAP;GEORGE
2020;Mars;SUTA;CAP;GEORGE
2020;Mars;STE. SUNABEL S.A.;CAP;GEORGE
2020;Mars;STE. SUNABEL S.A.;CAP;GEORGE
2020;Mars;STE. SUNABEL S.A.;CAP;GEORGE
2020;Mars;STE. SUNABEL S.A.;CAP;GEORGE
2020;Mars;COSUMAR;CAP;GEORGE
2020;Mars;COSUMAR;CAP;GEORGE
2020;Mars;COSUMAR;CAP;GEORGE
2020;Mars;LAFARGEHOLCIM MAROC;CAP;BURAK
2020;Mars;TIMAC AGRO SA;CAP;GALA A
2020;Avril;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;LADY DEBORA
2020;Avril;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC MOON
2020;Avril;UNIVERS ACIER;CAP;SDS RED
2020;Avril;Yara Norge AS;CAP;ARKLOW CAPE
2020;Avril;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;SKY FEYZ
2020;Avril;F181901 SGS KLAIPEDA LTD;CAP;NORDIC MALMOE
2020;Avril;TIMAC AGRO SA;CAP;ADNAN N
2020;Avril;Yara Norge AS;CAP;ARKLOW FAITH
2020;Avril;TIMAC AGRO SA;CAP;DUYGO
2020;Mai;F181901 SGS KLAIPEDA LTD;CAP;CAROLINE SELMER
2020;Mai;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2020;Mai;MAGHREB STEEL;CAP;PAN NAVIGATOR
2020;Mai;Yara Norge AS;CAP;ARKLOW RAINBOW
2020;Mai;TIMAC AGRO SA;CAP;HUNZEDIJK
2020;Juin;F181901 SGS KLAIPEDA LTD;CAP;PRETTY UNIVERSE
2020;Juin;Ciments de L'Atlas;CAP;WISLON NORTH
2020;Juin;Ciments de L'Atlas;CAP;N DADAYLI
2020;Juin;COSUMAR;CAP;SHAKESPEARE BAY
2020;Juin;COSUMAR;CAP;SHAKESPEARE BAY
2020;Juin;COSUMAR;CAP;SHAKESPEARE BAY
2020;Juin;COSUMAR;CAP;SHAKESPEARE BAY
2020;Juin;TIMAC AGRO ITALIA SPA;CAP;DUYGO
2020;Juin;TIMAC AGRO SA;CAP;DUYGO
2020;Juin;MAGHREB STEEL;CAP;ARKLOW ABBEY
2020;Juin;MAGHREB STEEL;CAP;ARKLOW ABBEY
2020;Juillet;F181901 SGS KLAIPEDA LTD;CAP;FEDERAL BARENTS
2020;Juillet;Yara Norge AS;CAP;ARKLOW CLAN
2020;Juillet;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2020;Juillet;Ciments de L'Atlas;CAP;RIGHT STEP
2020;Juillet;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;MUROS
2020;Juillet;STE. SUNABEL S.A.;CAP;ROSE
2020;Juillet;STE. SUNABEL S.A.;CAP;ROSE
2020;Juillet;STE. SUNABEL S.A.;CAP;ROSE
2020;Juillet;STE. SUNABEL S.A.;CAP;ROSE
2020;Juillet;TIMAC AGRO SA;CAP;VLISTBORG
2020;Août;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;DEUN
2020;Août;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;LADY DEBORAH
2020;Août;F181901 SGS KLAIPEDA LTD;CAP;AFRICAN VENTURE
2020;Août;Yara Norge AS;CAP;ARKLOW FAITH
2020;Août;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2020;Août;Ciments de L'Atlas;CAP;AMIKO
2020;Août;Yara Norge AS;CAP;ARKLOW FAITH
2020;Août;DIPROINDUCA BARBADOS LTD;CAP;SEA CARRIER
2020;Août;DIPROINDUCA BARBADOS LTD;CAP;SEA CARRIER
2020;Septembre;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;BREMER JOHANNA
2020;Septembre;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2020;Septembre;Ciments de L'Atlas;CAP;WILSON NICE
2020;Septembre;MAGHREB STEEL;CAP;ARKLOW BREEZE
2020;Septembre;F181901 SGS KLAIPEDA LTD;CAP;LV SONG HAI
2020;Octobre;Yara Norge AS;CAP;ARKLOW FOREST
2020;Octobre;MAGHREB STEEL;CAP;VITALITY
2020;Octobre;MAGHREB STEEL;CAP;VITALITY
2020;Octobre;COSUMAR;CAP;FEDERAL YOSHINO
2020;Octobre;COSUMAR;CAP;FEDERAL YOSHINO
2020;Octobre;COSUMAR;CAP;FEDERAL YOSHINO
2020;Octobre;COSUMAR;CAP;FEDERAL YOSHINO
2020;Octobre;MAGHREB STEEL;CAP;TEAM ACE
2020;Octobre;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2020;Octobre;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ARCHER
2020;Octobre;F181901 SGS KLAIPEDA LTD;CAP;PRETTY LAMB
2020;Décembre;Yara Norge AS;CAP;ARKLOW FREEDOM
2020;Décembre;Ciments de L'Atlas;CAP;YAF S
2020;Décembre;MAGHREB STEEL;CAP;JORD
2020;Décembre;F181901 SGS KLAIPEDA LTD;CAP;PRETTY LAMB
2020;Décembre;MAGHREB STEEL;CAP;VITALITY
2020;Décembre;MAGHREB STEEL;CAP;VITALITY
2021;Janvier;COSUMAR;CAP;ROSALIA
2021;Janvier;COSUMAR;CAP;ROSALIA
2021;Janvier;COSUMAR;CAP;ROSALIA
2021;Janvier;COSUMAR;CAP;ROSALIA
2021;Février;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2021;Février;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2021;Février;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2021;Février;Yara Norge AS;CAP;ARKLOW RAIDER
2021;Février;MAGHREB STEEL;CAP;ANZORAS
2021;Février;MAGHREB STEEL;CAP;ANZORAS
2021;Février;F181901 SGS KLAIPEDA LTD;CAP;WESTERN PANAMA
2021;Février;MAGHREB STEEL;CAP;IMMENSITY
2021;Février;MAGHREB STEEL;CAP;IMMENSITY
2021;Mars;F181901 SGS KLAIPEDA LTD;CAP;CHINTANA NAREE
2021;Mars;F050101 SGS ESPANOLA DE CONTROL, S.A.;CAP;ATLANTIC ISLAND
2021;Mars;STE. SUNABEL S.A.;CAP;MANISA ALENA
2021;Mars;STE. SUNABEL S.A.;CAP;MANISA ALENA
2021;Mars;STE. SUNABEL S.A.;CAP;MANISA ALENA
2021;Mars;STE. SUNABEL S.A.;CAP;MANISA ALENA
